MEX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
170286;Chief of Staff;Tomás Garrido Canabal;1934;1964;1964;FA;School of Psychology;Medium;8566;X
170287;Head of Government;Tomás Garrido Canabal;1939;1964;1964;FA;Silent Workhorse;Medium;8566;X
170288;Head of State;Nicolás Rodríguez Carrasco;1936;1964;1964;NS;Resigned Generalissimo;Medium;8567;X
170289;Head of Government;Nicolás Rodríguez Carrasco;1936;1964;1964;NS;Old General;Medium;8567;X
170290;Foreign Minister;Salvador Abascal Infante;1936;1964;1964;NS;Ideological Crusader;Medium;8575;X
170400;Head of State;Adolfo Lopez Mateos;1958;1970;1970;SD;Benevolent Gentleman;Medium;M170400;X
170401;Head of Government;Gustavo Diaz Ordaz;1958;1980;1980;SD;Silent Workhorse;Medium;M170401;X
170402;Head of State;Luis Hector Alvarez;1958;2020;2020;SC;Insignificant Layman;Medium;M170402;X
170403;Head of Government;Luis Hector Alvarez;1958;2020;2020;SC;Old Airmarshal;Medium;M170402;X
170404;Head of State;Gustavo Diaz Ordaz;1964;1980;1980;SL;Barking Buffoon;Medium;M170401;X
170405;Head of State;José González Torres;1964;1999;1999;SC;Pig-Headed Isolationist;Medium;M170405;X
170406;Head of Government;José González Torres;1964;1999;1999;SC;Smiling Oilman;Medium;M170405;X
170407;Head of State;Luis Echeverría;1970;2020;2020;SL;Weary Stiffneck;Medium;M170407;X
170408;Head of Government;Luis Echeverría;1970;2020;2020;SL;Corporate Suit;Medium;M170407;X
170409;Head of State;Efraín González Morfín;1970;2013;2013;SC;Benevolent Gentleman;Medium;M170409;X
170410;Head of Government;Efraín González Morfín;1970;2013;2013;SC;Naive Optimist;Medium;M170409;X
170411;Head of State;José López Portillo;1976;2005;2005;SL;Autocratic Charmer;Medium;M170411;X
170412;Head of Government;José López Portillo;1976;2005;2005;SL;Corporate Suit;Medium;M170411;X
170413;Head of State;Manuel González Hinojosa;1976;2007;2007;SC;Resigned Generalissimo;Medium;M170413;X
170414;Head of Government;Manuel González Hinojosa;1976;2007;2007;SC;Smiling Oilman;Medium;M170413;X
170415;Head of State;Pablo Emilio Madero;1982;2008;2008;SC;Powerhungry Demagogue;Medium;M170415;X
170416;Head of Government;Pablo Emilio Madero;1982;2008;2008;SC;Ambitious Union Boss;Medium;M170415;X
170417;Head of Government;Manuel Clouthier;1988;1990;2000;SC;Ambitious Union Boss;Medium;M170417;X
170418;Head of State;Miguel de la Madrid;1982;2013;2013;SL;Autocratic Charmer;Very High;MEX1;X
170419;Head of Government;Miguel de la Madrid;1982;2013;2013;SL;Corporate Suit;Very High;MEX1;X
170420;Foreign Minister;Bernardo Sepúlveda Amor;1985;1992;1992;SL;Great Compromiser;Very High;MEX2;X
170421;Minister of Armament;Jesús Silva Herzog Flores;1985;1992;1992;SL;Laissez-Faire Capitalist;Very High;MEX3;X
170422;Minister of Security;Manuel Bartlett Díaz;1985;1992;1992;SL;Back Stabber;Very High;MEX4;X
170423;Head of Military Intelligence;Manuel Bartlett Díaz;1985;1992;1992;SL;Political Specialist;Very High;MEX4;X
170424;Chief of Staff;Juan Arévalo Gardoqui;1985;1992;1992;SC;School of Defence;Very High;MEX5;X
170425;Chief of Army;Juan Arévalo Gardoqui;1985;1992;1992;SC;Static Defence Doctrine;Very High;MEX5;X
170426;Chief of Navy;Miguel Angel Gómez Ortega;1985;1992;1992;ML;Power Projection Doctrine;Very High;MEX6;X
170427;Chief of Air Force;Juan Arévalo Gardoqui;1985;1992;1992;SC;Army Aviation Doctrine;Very High;MEX5;X
170428;Head of State;Carlos Salinas;1988;2020;2020;SL;Autocratic Charmer;Very High;MEX7;X
170429;Head of Government;Carlos Salinas;1988;2020;2020;SL;Corporate Suit;Very High;MEX7;X
170430;Head of State;Cuauhtémoc Cárdenas;1988;2020;2020;SL;Pig-headed Isolationist;Very High;MEX8;X
170431;Head of Government;Cuauhtémoc Cárdenas;1988;2020;2020;SL;Ambitious Union Boss;Very High;MEX8;X
170432;Minister of Armament;Rosario Robles;1985;1992;1992;SL;Administrative Genius;Very High;MEX9;X
170433;Minister of Security;Amalia García;1985;1992;1992;SL;Man of the People;Very High;MEX10;X
170434;Head of Military Intelligence;Amalia García;1985;1992;1992;SL;Political Specialist;Very High;MEX10;X
170435;Chief of Staff;Miguel Angel Gómez Ortega;1985;1992;1992;SC;School of Defence;Very High;MEX6;X
170436;Chief of Army;Gerardo Vega Garcia;1985;1992;1992;SC;Static Defence Doctrine;Very High;MEX11;X
170437;Chief of Air Force;Miguel Angel Gómez Ortega;1985;1992;1992;SC;Naval Aviation Doctrine;Very High;MEX6;X
